function,stat,JADE,KNN2,KNN5,KNN10,KNN20,KNN30,KNN50
cec2013_f01,y_median,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cec2013_f01,y_iqr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cec2013_f02,y_median,370073.0,522234.0,40487.0,39676.0,52142.0,41720.0,39282.0
cec2013_f02,y_iqr,411196.0,409025.0,80598.0,61902.0,67286.0,44135.0,50637.0
cec2013_f03,y_median,3573.41,5352.96,5143.48,5220.87,5059.45,4877.25,5129.3
cec2013_f03,y_iqr,4550.1,1499.55,1230.58,1552.94,2062.83,1407.18,1308.19
cec2013_f04,y_median,13942.0,10819.0,14749.0,5574.88,5394.05,6676.46,10550.0
cec2013_f04,y_iqr,6472.01,7288.35,16551.0,6154.07,4730.63,6775.87,7815.47
cec2013_f05,y_median,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cec2013_f05,y_iqr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cec2013_f06,y_median,9.81,9.81,9.81,9.81,9.81,9.81,9.81
cec2013_f06,y_iqr,9.79,0.0,0.0,0.0,0.0,0.0,0.0
cec2013_f07,y_median,745.69,24.27,60.03,67.97,77.98,95.02,100.8
cec2013_f07,y_iqr,570.8,52.27,21.32,58.15,88.57,132.52,137.64
cec2013_f08,y_median,20.33,20.36,20.38,20.4,20.36,20.36,20.38
cec2013_f08,y_iqr,0.09,0.09,0.12,0.08,0.1,0.12,0.12
cec2013_f09,y_median,4.52,0.0,0.0,0.0,0.0,0.0,0.0
cec2013_f09,y_iqr,1.3,0.0,0.0,0.0,0.0,0.0,0.0
cec2013_f10,y_median,0.06,0.0,0.04,0.04,0.09,0.07,0.08
cec2013_f10,y_iqr,0.12,0.01,0.04,0.07,0.15,0.09,0.1
cec2013_f11,y_median,0.0,16.07,0.0,0.0,0.0,0.0,0.0
cec2013_f11,y_iqr,0.0,4.21,0.0,0.0,0.0,0.0,0.0
cec2013_f12,y_median,8.96,32.03,19.84,2.98,4.97,4.97,6.0
cec2013_f12,y_iqr,4.96,5.79,4.06,1.99,3.21,3.05,4.48
cec2013_f13,y_median,20.04,30.83,20.22,5.06,5.38,6.26,9.25
cec2013_f13,y_iqr,7.48,6.19,5.48,2.79,4.38,7.96,9.3
cec2013_f14,y_median,0.06,435.13,56.42,0.19,0.13,0.13,0.13
cec2013_f14,y_iqr,0.12,105.18,37.74,3.32,0.12,0.06,0.12
cec2013_f15,y_median,638.41,1374.49,1178.02,30.11,188.46,392.3,533.02
cec2013_f15,y_iqr,293.39,149.98,188.15,85.23,99.01,138.99,264.22
cec2013_f16,y_median,0.39,1.16,1.13,1.11,0.46,0.46,0.38
cec2013_f16,y_iqr,0.16,0.25,0.2,0.18,0.17,0.11,0.11
cec2013_f17,y_median,10.12,27.34,15.31,10.12,10.12,10.12,10.12
cec2013_f17,y_iqr,0.0,3.92,0.75,0.0,0.0,0.0,0.01
cec2013_f18,y_median,11.53,36.86,27.84,12.0,3.83,5.41,6.79
cec2013_f18,y_iqr,6.37,5.84,4.67,5.13,2.14,1.77,3.35
cec2013_f19,y_median,0.64,2.29,1.73,0.94,0.59,0.51,0.53
cec2013_f19,y_iqr,0.26,0.44,0.37,0.27,0.12,0.11,0.18
cec2013_f20,y_median,3.17,3.72,3.4,2.25,2.28,2.48,2.87
cec2013_f20,y_iqr,0.42,0.13,0.23,0.64,0.75,0.83,0.73
cec2013_f21,y_median,400.0,400.0,400.0,400.0,400.0,400.0,400.0
cec2013_f21,y_iqr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cec2013_f22,y_median,0.02,611.85,125.22,101.46,29.47,22.14,2.88
cec2013_f22,y_iqr,2.11,139.58,130.06,99.11,98.97,99.47,11.19
cec2013_f23,y_median,857.93,1388.12,1134.14,47.3,178.67,385.74,617.78
cec2013_f23,y_iqr,259.27,149.36,160.82,99.21,165.36,331.75,307.76
cec2013_f24,y_median,204.37,200.0,200.0,200.85,200.0,200.0,200.63
cec2013_f24,y_iqr,49.91,0.77,1.4,4.45,1.55,1.45,2.69
cec2013_f25,y_median,215.88,208.15,208.37,208.38,208.22,208.22,208.53
cec2013_f25,y_iqr,5.31,1.91,3.06,3.54,9.73,7.85,11.02
cec2013_f26,y_median,137.83,200.05,200.0,200.0,200.0,200.0,200.0
cec2013_f26,y_iqr,73.33,80.19,76.83,3.71,92.99,93.18,93.51
cec2013_f27,y_median,437.47,338.09,345.85,348.17,340.83,341.45,344.83
cec2013_f27,y_iqr,54.27,22.56,24.6,26.7,24.02,28.76,19.4
cec2013_f28,y_median,400.0,400.0,400.0,400.0,400.0,400.0,400.0
cec2013_f28,y_iqr,100.0,100.0,0.0,100.0,0.0,100.0,100.0